assembly_id,plug_obj,socket_obj,plug_vertex_count,plug_face_count,plug_bbox_min_x,plug_bbox_min_y,plug_bbox_min_z,plug_bbox_max_x,plug_bbox_max_y,plug_bbox_max_z,plug_bbox_x,plug_bbox_y,plug_bbox_z,plug_xy_bbox_min,plug_xy_bbox_max,plug_xy_bbox_diag,plug_xy_bbox_area,plug_xy_bbox_equiv_diameter,plug_xy_radius_mean_from_centroid,plug_xy_radius_p95_from_centroid,plug_xy_radius_max_from_centroid,socket_vertex_count,socket_face_count,socket_bbox_min_x,socket_bbox_min_y,socket_bbox_min_z,socket_bbox_max_x,socket_bbox_max_y,socket_bbox_max_z,socket_bbox_x,socket_bbox_y,socket_bbox_z,socket_xy_bbox_min,socket_xy_bbox_max,socket_xy_bbox_diag,socket_xy_bbox_area,socket_xy_bbox_equiv_diameter,socket_xy_radius_mean_from_centroid,socket_xy_radius_p95_from_centroid,socket_xy_radius_max_from_centroid,xy_bbox_max_clearance_proxy,xy_bbox_min_clearance_proxy,xy_bbox_equiv_diameter_clearance_proxy,xy_radius_p95_radial_clearance_proxy,xy_radius_p95_diametral_clearance_proxy,plug_to_socket_surface_dist_min,plug_to_socket_surface_dist_p01,plug_to_socket_surface_dist_p05,plug_to_socket_surface_dist_median,plug_to_socket_surface_dist_mean,plug_to_socket_surface_dist_max,plug_to_socket_signed_dist_min,plug_to_socket_signed_dist_p01,plug_to_socket_signed_dist_p05,plug_to_socket_signed_dist_median,plug_to_socket_signed_dist_mean,plug_to_socket_signed_dist_max,plug_to_socket_signed_dist_positive_fraction,plug_to_socket_distance_sample_count
00004,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00004/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00004/socket.obj,2754,5504,-0.003415,-0.003472,0.006191,0.003492,0.003472,0.081617,0.006907,0.006944,0.07542599999999999,0.006907,0.006944,0.0097941709705314,4.7962207999999995e-05,0.007814562040089847,0.0030426887197822286,0.003712703919120543,0.0037750906086438953,10426,20888,-0.036231,-0.036233,-6e-06,0.036232,0.03623,0.022292,0.072463,0.072463,0.022298,0.072463,0.072463,0.10247815737024159,0.005250886369,0.08176573958524212,0.03347608313716736,0.03617387454737766,0.036274413593565695,0.065519,0.065556,0.07395117754515228,0.03246117062825712,0.06492234125651423,4.900000000000043e-05,4.900000000000043e-05,0.0002572747578931487,0.022196514968569662,0.023597323731269097,0.05945649785583709,-0.05945649785583709,-0.05940494477280444,-0.056989207303458994,-0.022196514968569662,-0.023597323731269097,-4.900000000000043e-05,0.0,1024
00007,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00007/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00007/socket.obj,557,1114,-0.012674,-0.012734,0.0201,0.012864,0.012734,0.039898,0.025537999999999998,0.025468,0.019798000000000003,0.025468,0.025537999999999998,0.03606672244604436,0.000650401784,0.028777026798387246,0.01205604980566103,0.012770093081236084,0.012770738461178691,4338,8672,-0.010542,-0.010575,3e-06,0.010668,0.010575,0.040724,0.02121,0.02115,0.040721,0.02115,0.02121,0.029953073298077445,0.0004485915,0.023899046785009308,0.00922503100680199,0.010947998626173695,0.011490354403221974,-0.0043279999999999985,-0.004318000000000002,-0.004877980013377938,-0.0018220944550623886,-0.0036441889101247772,0.0009761639953753768,0.0010830878676819557,0.0014315572648013163,0.002786869396907112,0.0025183086962186772,0.004824331179875411,-0.004824331179875411,-0.0042134811242091315,-0.0035648367502955297,-0.002786869396907112,-0.0025183086962186772,-0.0009761639953753768,0.0,1024
00014,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00014/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00014/socket.obj,2242,1190,-0.006217,-0.00238,0.013589,0.006193,0.00238,0.058927,0.012410000000000001,0.00476,0.045338,0.00476,0.012410000000000001,0.013291564994386478,5.9071600000000005e-05,0.008672502354613554,0.0031643540834287833,0.0058219121574281385,0.006205191793041925,4824,2006,-0.009894,-0.009898,-2.1e-05,0.009894,0.009898,0.023307,0.019788,0.019796,0.023328,0.019788,0.019796,0.027990115398118673,0.000391723248,0.022332880019059326,0.005337867008441472,0.009893192086724583,0.009926245860281733,0.007386,0.015028,0.013660377664445772,0.004071279929296444,0.008142559858592888,0.0,3.884357001112016e-05,0.00013747091630604747,0.013125171921637185,0.013800891650145617,0.035431841271649375,-0.035431841271649375,-0.034695506183344285,-0.032836423029337584,-0.013125171921637185,-0.013800620882109687,5.8192154898272175e-05,0.008116883116883116,616
00015,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00015/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00015/socket.obj,3234,6464,-0.005916,-0.005123,-4.9e-05,0.005916,0.005123,0.043074,0.011832,0.010246,0.043123,0.010246,0.011832,0.0156517328114174,0.000121230672,0.012423996362894584,0.003962749640545488,0.00554912778338586,0.005916516245080902,5312,10624,-0.012607,-0.012607,1e-06,0.012607,0.012607,0.025384,0.025214,0.025214,0.025383,0.025214,0.025214,0.03565798076167522,0.000635745796,0.028450952319146253,0.010017158584776057,0.012895091884254415,0.012918163383696698,0.013382,0.014968,0.01602695595625167,0.007345964100868556,0.014691928201737111,0.0004824428375632352,0.0004965624214691364,0.0005136608387692561,0.004338971894789136,0.007040254176503635,0.018597900529162038,-0.018597900529162038,-0.018310063754199166,-0.0178775030163779,-0.004338971894789136,-0.006882181721487848,0.0024045844258024363,0.1103515625,1024
00016,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00016/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00016/socket.obj,5698,11392,-0.004046,-0.004046,0.0,0.004046,0.004046,0.05158,0.008092,0.008092,0.05158,0.008092,0.008092,0.011443816146723086,6.5480464e-05,0.009130844220136889,0.0033260915750291846,0.0040277287133848,0.0040515501201724225,2620,5264,-0.010079,-0.010114,0.0,0.010079,0.010114,0.020227,0.020158,0.020228,0.020227,0.020158,0.020228,0.02855725736130835,0.00040775602399999996,0.022785326294806053,0.008227759144631882,0.010113831937575812,0.010114578191617924,0.012136,0.012065999999999999,0.013654482074669164,0.006086103224191012,0.012172206448382024,0.00044465899617195575,0.00046684684061466656,0.00048254223453891295,0.004649358727761926,0.009659011463405944,0.03160468795703543,-0.03160468795703543,-0.031460865503516164,-0.028950033937182075,-0.004649358727761926,-0.009072398122464983,0.003992163999160463,0.15625,1024
00021,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00021/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00021/socket.obj,5888,11776,-0.004031,-0.004042,0.0,0.007996,0.004028,0.043572,0.012027,0.00807,0.043572,0.00807,0.012027,0.014483564098660246,9.705789000000001e-05,0.011116561684106985,0.0035491125222393088,0.0065372865538265,0.0067448410916640614,2336,4672,-0.024473,-0.02425,0.0,0.024273,0.024497,0.008104,0.048746,0.048747,0.008104,0.048746,0.048747,0.06893796142184652,0.002376221262,0.055004535065927916,0.014290089648065829,0.02426500243957322,0.02458069290131857,0.03672,0.040676,0.04388797338182093,0.017727715885746717,0.035455431771493434,0.0004223710718166708,0.000456895548808003,0.0005322704141133126,0.012394453279038598,0.014518566264486187,0.035662015008098735,-0.035662015008098735,-0.03555248966788908,-0.03473332604679381,-0.012394453279038598,-0.01449997907248713,0.0007049146582127728,0.0166015625,1024
00028,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00028/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00028/socket.obj,7426,14848,-0.006556,-0.004787,9e-06,0.006556,0.006452,0.06002,0.013112,0.011238999999999999,0.060010999999999995,0.011238999999999999,0.013112,0.017269616816826018,0.000147365768,0.013697880250530285,0.005051175994085516,0.006607481483406908,0.006927331273607691,2736,5472,-0.020477,-0.020568,0.0,0.020416,0.020354,0.023708,0.040893,0.040922,0.023708,0.040893,0.040922,0.057851944937054624,0.001673423346,0.046159167878225806,0.014268300226289679,0.02041745712775788,0.020477685728347756,0.02781,0.029654,0.03246128762769552,0.013809975644350972,0.027619951288701945,0.0002542563174378342,0.00027649331826213577,0.0002991283164942755,0.008811508741086353,0.012293086294440474,0.03661800460857411,-0.03661800460857411,-0.036391493204163725,-0.034619811249261015,-0.008811508741086353,-0.012293086294440474,-0.0002542563174378342,0.0,1024
00030,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00030/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00030/socket.obj,2370,4736,-0.003232,-0.003305,0.0,0.003329,0.003305,0.053452,0.006561,0.00661,0.053452,0.006561,0.00661,0.009313367865600499,4.336821e-05,0.007430889580418951,0.0028844255197727564,0.003552609097118121,0.003618942524328728,3204,6448,-0.024728,-0.024689,0.0,0.024616,0.024616,0.020228,0.049344,0.049305,0.020228,0.049305,0.049344,0.0697553823084642,0.00243290592,0.05565673387797996,0.014925032065749083,0.024617183627406555,0.024690528421299155,0.042734,0.042744000000000004,0.04822584429756101,0.021064574530288434,0.04212914906057687,0.00033425923047489926,0.0003529473868547437,0.00036475933393515024,0.014256779829414777,0.01526146763530644,0.03771217537458268,-0.03771217537458268,-0.03714493937760538,-0.03544953942736111,-0.014256779829414777,-0.01526068980348106,0.00039824989459468163,0.0009765625,1024
00032,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00032/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00032/socket.obj,7170,14336,-0.013334,-0.002898,0.01716,0.013334,0.002503,0.037327,0.026668,0.0054009999999999996,0.020166999999999997,0.0054009999999999996,0.026668,0.027209428972325016,0.00014403386799999998,0.01354214224259827,0.005295981019951838,0.013426648069301668,0.013836070268993172,4354,8704,-0.020002,-0.008001,0.0,0.020002,0.001333,0.025335,0.040004,0.009333999999999999,0.025335,0.009333999999999999,0.040004,0.04107850498740186,0.00037339733599999993,0.02180422560179477,0.005237376457775529,0.015976850415136627,0.020728627933517676,0.013335999999999997,0.003932999999999999,0.0082620833591965,0.0025502023458349593,0.005100404691669919,3.606664285391416e-06,8.999999999998592e-06,0.0002576429731759221,0.00117,0.002951880647247094,0.012005900677870777,-0.012005900677870777,-0.011868867750114481,-0.010642799662067935,-0.00117,-0.0029375439483765482,0.0011652211007864947,0.0556640625,1024
00042,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00042/plug.obj,/home/gpuserver/hx/github/SRSA_restore/data/mesh/00042/socket.obj,3074,6144,-0.004257,-0.004253,0.0,0.004242,0.004253,0.019794,0.008499,0.008506,0.019794,0.008499,0.008506,0.012024351832843215,7.2292494e-05,0.009594043055371884,0.003232272773174989,0.004256628891387305,0.0042575389272949266,3168,6336,-0.012956,-0.01292,0.0,0.012956,0.01292,0.007403,0.025912,0.02584,0.007403,0.02584,0.025912,0.036594225555406965,0.00066956608,0.029197911070302743,0.009662952342350858,0.012955579806935203,0.012956228797875852,0.017406,0.017341,0.01960386801493086,0.008698950915547898,0.017397901831095797,0.0,1.0288627653887635e-05,9.257350216229613e-05,0.0027512882060710996,0.004190889930919603,0.012713767287685206,-0.012713767287685206,-0.0125256852249741,-0.012380298756307846,-0.0027512882060710996,-0.004163774220035837,0.0004804621955386266,0.03125,1024
